tags,location,isReservationRequired,arePetsPermitted,activities,amenities,doFeesApply,season,duration,parkCode,designation,fullName,states
"['Acadia National Park', 'East Side', 'mount desert island', 'park loop road', 'hiking', 'loops', 'summit', 'Jordan Pond', 'forest', 'island explorer']",The Bubbles,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['pemetic mountain', 'out and back', 'half day', 'park loop road', 'summit', 'Acadia National Park', 'mount desert island', 'East Side', 'hiking', 'island explorer']",Pemetic Mountain,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-3 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'mount desert island', 'East Side', 'Sieur de Monts', 'memorial trails', 'less than half day', 'park loop road', 'hiking']",Emery Path,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",20-45 Minutes,acad,National Park,Acadia National Park,ME
"['Compass Harbor Trail', 'George Dorr', 'Oldfarm', 'East Side', 'mount desert island', 'Virtual Tour', 'Cultural History']",Compass Harbor Trail,false,true,"[{'id': 'A0631906-9672-4583-91DE-113B93DB6B6E', 'name': 'Self-Guided Tours - Walking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'Dorr Mountain', 'mount desert island', 'park loop road', 'East Side', 'ladders', 'loops', 'less than half day', 'forest', 'summit']",Dorr Mountain,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'mount desert island', 'park loop road', 'Sieur de Monts', 'memorial trails', 'memorial paths', 'hiking', 'less than half day', 'out and back', 'forest', 'kurt diederichs climb']",Kurt Diederichs Climb,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",20-30 Minutes,acad,National Park,Acadia National Park,ME
"['wildlife', 'animals', 'Jordan Pond', 'Sieur de Monts', 'nature', 'Acadia National Park', 'park loop road', 'tidepooling', 'Carriage Road', 'peregrine falcon', 'Loon', 'mammals', 'birds', 'amphibians', 'reptiles', 'marine wildlife']",,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'memorial paths', 'Sieur de Monts', 'park loop road', 'mount desert island', 'out and back', 'forest']",Homans Path,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",15-30 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'mount desert island', 'East Side', 'park loop road', 'Sieur de Monts', 'memorial trails', 'Dorr Mountain', 'hiking', 'less than half day', 'out and back', 'forest', 'summit']",Schiff Path,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",30-60 Minutes,acad,National Park,Acadia National Park,ME
"['tidepooling', 'Schoodic Peninsula', 'Acadia National Park', 'tide pools', 'marine wildlife', 'coastal', 'intertidal', 'intertidal zone']",Schoodic Peninsula,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['stargazing', 'night skies', 'Acadia National Park', 'Jordan Pond', 'Photography', 'park loop road', 'East Side', 'mount desert island', 'astronomy']",Jordan Pond,false,true,"[{'id': 'D37A0003-8317-4F04-8FB0-4CF0A272E195', 'name': 'Stargazing'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'East Side', 'mount desert island', 'park loop road', 'The Bubbles', 'out and back', 'less than half day', 'summit', 'forest', 'island explorer', 'hiking']",The Bubbles,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",60-90 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'stargazing', 'night skies', 'mount desert island', 'astronomy', 'East Side', 'park loop road']",Ocean Path,false,true,"[{'id': 'D37A0003-8317-4F04-8FB0-4CF0A272E195', 'name': 'Stargazing'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['stargazing', 'night skies', 'Acadia National Park', 'Sand Beach', 'park loop road', 'East Side', 'mount desert island', 'Photography']",Sand Beach,false,true,"[{'id': 'D37A0003-8317-4F04-8FB0-4CF0A272E195', 'name': 'Stargazing'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'hiking', 'forest', 'summit', 'Kebo Mountain', 'mount desert island', 'park loop road', 'less than half day', 'one-way', 'island explorer']",Kebo Brook Trailhead,false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",1-2 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'west side', 'mount desert island', 'mountains', 'summit', 'loops', 'forest', 'less than half day', 'hiking']","Long Pond, Western Mountain",false,true,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Winter', 'Spring', 'Summer', 'Fall']",2-3 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'East Side', 'mount desert island', 'park loop road', 'Jordan Pond', 'hiking', 'loops', 'half day', 'summit', 'forest', 'island explorer']",Pemetic Mountain,false,false,"[{'id': 'BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA', 'name': 'Hiking'}]",[],false,"['Spring', 'Summer', 'Fall']",2-3 Hours,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'tidepooling', 'tidepools', 'Tide Pool', 'bar island', 'Bar Harbor', 'East Side', 'mount desert island', 'marine wildlife']",Bar Island,false,true,"[{'id': '0B685688-3405-4E2A-ABBA-E3069492EC50', 'name': 'Wildlife Watching'}]",[],false,"['Spring', 'Summer', 'Fall']",30-60 Minutes,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'birding', 'birdwatching', 'Jordan Pond', 'East Side', 'park loop road']",Jordan Pond,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
"['Acadia National Park', 'birding', 'birdwatching', 'west side', 'western mountains', 'mount desert island']",Western Mountains,false,true,"[{'id': '5A2C91D1-50EC-4B24-8BED-A2E11A1892DF', 'name': 'Birdwatching'}]",[],false,"['Spring', 'Summer', 'Fall']",,acad,National Park,Acadia National Park,ME
