activity_id,activity_name,designation,fullName,name,parkCode,states,url
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Shenandoah National Park,Shenandoah,shen,VA,https://www.nps.gov/shen/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Theodore Roosevelt National Park,Theodore Roosevelt,thro,ND,https://www.nps.gov/thro/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,White Sands National Park,White Sands,whsa,NM,https://www.nps.gov/whsa/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Wind Cave National Park,Wind Cave,wica,SD,https://www.nps.gov/wica/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Yellowstone National Park,Yellowstone,yell,"ID,MT,WY",https://www.nps.gov/yell/index.htm
5F723BAD-7359-48FC-98FA-631592256E35,Auto and ATV,National Park,Yosemite National Park,Yosemite,yose,CA,https://www.nps.gov/yose/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Acadia National Park,Acadia,acad,ME,https://www.nps.gov/acad/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Arches National Park,Arches,arch,UT,https://www.nps.gov/arch/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Badlands National Park,Badlands,badl,SD,https://www.nps.gov/badl/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Big Bend National Park,Big Bend,bibe,TX,https://www.nps.gov/bibe/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Bryce Canyon National Park,Bryce Canyon,brca,UT,https://www.nps.gov/brca/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Canyonlands National Park,Canyonlands,cany,UT,https://www.nps.gov/cany/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Capitol Reef National Park,Capitol Reef,care,UT,https://www.nps.gov/care/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Crater Lake National Park,Crater Lake,crla,OR,https://www.nps.gov/crla/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Cuyahoga Valley National Park,Cuyahoga Valley,cuva,OH,https://www.nps.gov/cuva/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Death Valley National Park,Death Valley,deva,"CA,NV",https://www.nps.gov/deva/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Everglades National Park,Everglades,ever,FL,https://www.nps.gov/ever/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Glacier National Park,Glacier,glac,MT,https://www.nps.gov/glac/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Great Basin National Park,Great Basin,grba,NV,https://www.nps.gov/grba/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Grand Canyon National Park,Grand Canyon,grca,AZ,https://www.nps.gov/grca/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Great Smoky Mountains National Park,Great Smoky Mountains,grsm,"NC,TN",https://www.nps.gov/grsm/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Grand Teton National Park,Grand Teton,grte,WY,https://www.nps.gov/grte/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Hawaiʻi Volcanoes National Park,Hawaiʻi Volcanoes,havo,HI,https://www.nps.gov/havo/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Hot Springs National Park,Hot Springs,hosp,AR,https://www.nps.gov/hosp/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Indiana Dunes National Park,Indiana Dunes,indu,IN,https://www.nps.gov/indu/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Gateway Arch National Park,Gateway Arch,jeff,MO,https://www.nps.gov/jeff/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Joshua Tree National Park,Joshua Tree,jotr,CA,https://www.nps.gov/jotr/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Lassen Volcanic National Park,Lassen Volcanic,lavo,CA,https://www.nps.gov/lavo/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Mammoth Cave National Park,Mammoth Cave,maca,KY,https://www.nps.gov/maca/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Mesa Verde National Park,Mesa Verde,meve,CO,https://www.nps.gov/meve/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Mount Rainier National Park,Mount Rainier,mora,WA,https://www.nps.gov/mora/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,North Cascades National Park,North Cascades,noca,WA,https://www.nps.gov/noca/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Olympic National Park,Olympic,olym,WA,https://www.nps.gov/olym/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Petrified Forest National Park,Petrified Forest,pefo,AZ,https://www.nps.gov/pefo/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Pinnacles National Park,Pinnacles,pinn,CA,https://www.nps.gov/pinn/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Saguaro National Park,Saguaro,sagu,AZ,https://www.nps.gov/sagu/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Shenandoah National Park,Shenandoah,shen,VA,https://www.nps.gov/shen/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Theodore Roosevelt National Park,Theodore Roosevelt,thro,ND,https://www.nps.gov/thro/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Voyageurs National Park,Voyageurs,voya,MN,https://www.nps.gov/voya/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,White Sands National Park,White Sands,whsa,NM,https://www.nps.gov/whsa/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Wind Cave National Park,Wind Cave,wica,SD,https://www.nps.gov/wica/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Yellowstone National Park,Yellowstone,yell,"ID,MT,WY",https://www.nps.gov/yell/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Yosemite National Park,Yosemite,yose,CA,https://www.nps.gov/yose/index.htm
7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking,National Park,Zion National Park,Zion,zion,UT,https://www.nps.gov/zion/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Acadia National Park,Acadia,acad,ME,https://www.nps.gov/acad/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Biscayne National Park,Biscayne,bisc,FL,https://www.nps.gov/bisc/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Canyonlands National Park,Canyonlands,cany,UT,https://www.nps.gov/cany/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Channel Islands National Park,Channel Islands,chis,CA,https://www.nps.gov/chis/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Crater Lake National Park,Crater Lake,crla,OR,https://www.nps.gov/crla/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Dry Tortugas National Park,Dry Tortugas,drto,FL,https://www.nps.gov/drto/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Everglades National Park,Everglades,ever,FL,https://www.nps.gov/ever/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Glacier National Park,Glacier,glac,MT,https://www.nps.gov/glac/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Grand Canyon National Park,Grand Canyon,grca,AZ,https://www.nps.gov/grca/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Grand Teton National Park,Grand Teton,grte,WY,https://www.nps.gov/grte/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Indiana Dunes National Park,Indiana Dunes,indu,IN,https://www.nps.gov/indu/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Isle Royale National Park,Isle Royale,isro,MI,https://www.nps.gov/isro/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Kenai Fjords National Park,Kenai Fjords,kefj,AK,https://www.nps.gov/kefj/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Kobuk Valley National Park,Kobuk Valley,kova,AK,https://www.nps.gov/kova/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Lassen Volcanic National Park,Lassen Volcanic,lavo,CA,https://www.nps.gov/lavo/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Mammoth Cave National Park,Mammoth Cave,maca,KY,https://www.nps.gov/maca/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,North Cascades National Park,North Cascades,noca,WA,https://www.nps.gov/noca/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Olympic National Park,Olympic,olym,WA,https://www.nps.gov/olym/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Virgin Islands National Park,Virgin Islands,viis,VI,https://www.nps.gov/viis/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Voyageurs National Park,Voyageurs,voya,MN,https://www.nps.gov/voya/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Yellowstone National Park,Yellowstone,yell,"ID,MT,WY",https://www.nps.gov/yell/index.htm
071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating,National Park,Yosemite National Park,Yosemite,yose,CA,https://www.nps.gov/yose/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Acadia National Park,Acadia,acad,ME,https://www.nps.gov/acad/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Arches National Park,Arches,arch,UT,https://www.nps.gov/arch/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Badlands National Park,Badlands,badl,SD,https://www.nps.gov/badl/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Big Bend National Park,Big Bend,bibe,TX,https://www.nps.gov/bibe/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Biscayne National Park,Biscayne,bisc,FL,https://www.nps.gov/bisc/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Black Canyon Of The Gunnison National Park,Black Canyon Of The Gunnison,blca,CO,https://www.nps.gov/blca/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Bryce Canyon National Park,Bryce Canyon,brca,UT,https://www.nps.gov/brca/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Canyonlands National Park,Canyonlands,cany,UT,https://www.nps.gov/cany/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Capitol Reef National Park,Capitol Reef,care,UT,https://www.nps.gov/care/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Carlsbad Caverns National Park,Carlsbad Caverns,cave,NM,https://www.nps.gov/cave/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Channel Islands National Park,Channel Islands,chis,CA,https://www.nps.gov/chis/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Congaree National Park,Congaree,cong,SC,https://www.nps.gov/cong/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Crater Lake National Park,Crater Lake,crla,OR,https://www.nps.gov/crla/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Death Valley National Park,Death Valley,deva,"CA,NV",https://www.nps.gov/deva/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Dry Tortugas National Park,Dry Tortugas,drto,FL,https://www.nps.gov/drto/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Everglades National Park,Everglades,ever,FL,https://www.nps.gov/ever/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Glacier National Park,Glacier,glac,MT,https://www.nps.gov/glac/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Great Basin National Park,Great Basin,grba,NV,https://www.nps.gov/grba/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Grand Canyon National Park,Grand Canyon,grca,AZ,https://www.nps.gov/grca/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Great Smoky Mountains National Park,Great Smoky Mountains,grsm,"NC,TN",https://www.nps.gov/grsm/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Grand Teton National Park,Grand Teton,grte,WY,https://www.nps.gov/grte/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Guadalupe Mountains National Park,Guadalupe Mountains,gumo,TX,https://www.nps.gov/gumo/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Haleakalā National Park,Haleakalā,hale,HI,https://www.nps.gov/hale/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Hawaiʻi Volcanoes National Park,Hawaiʻi Volcanoes,havo,HI,https://www.nps.gov/havo/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Hot Springs National Park,Hot Springs,hosp,AR,https://www.nps.gov/hosp/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Indiana Dunes National Park,Indiana Dunes,indu,IN,https://www.nps.gov/indu/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Isle Royale National Park,Isle Royale,isro,MI,https://www.nps.gov/isro/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Joshua Tree National Park,Joshua Tree,jotr,CA,https://www.nps.gov/jotr/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Kenai Fjords National Park,Kenai Fjords,kefj,AK,https://www.nps.gov/kefj/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Kobuk Valley National Park,Kobuk Valley,kova,AK,https://www.nps.gov/kova/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Lassen Volcanic National Park,Lassen Volcanic,lavo,CA,https://www.nps.gov/lavo/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Mammoth Cave National Park,Mammoth Cave,maca,KY,https://www.nps.gov/maca/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Mesa Verde National Park,Mesa Verde,meve,CO,https://www.nps.gov/meve/index.htm
A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping,National Park,Mount Rainier National Park,Mount Rainier,mora,WA,https://www.nps.gov/mora/index.htm
